Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
1,0.370594257,0.424389446,0.405749772,0.601457213,0.601457213,0.998969203,0.796887146,0.808809361,0.302646434,0.78098485,0.000125697,0,0.458143144,0.000725073,0,0.147949939,0.147949939,0.147949939,0.169140588,0.311664427,0.01755978,0.095920528,0.13873616,0.022102278,0.848194995,0.688979463,0.688979463,0.217535386,4980000000,0.000326977,0.263099984,0.363725271,0.002258963,0.001207755,0.629951302,0.021265924,0.207576261,0.792423739,0.005024455,0.390284354,0.006478502,0.095884834,0.137757334,0.398035698,0.086956522,0.001813884,0.003487364,0.000182093,0.000116501,0.032903226,0.034164182,0.392912869,0.037135302,0.672775292,0.166672959,0.190642959,0.004094406,0.001996771,0.000147336,0.14730845,0.334015171,0.276920158,0.00103599,0.676269176,0.721274552,0.339077007,0.025592368,0.903224771,0.002021613,0.064855708,701000000,6550000000,0.593830504,458000000,0.671567654,0.424205762,0.676269176,0.339077007,0.126549488,0.637555395,0.458609148,0.520381918,0.312904948,0.118250477,0,0.716845343,0.00921944,0.622878959,0.60145329,0.827890214,0.290201893,0.026600631,0.564050112,1,0.016468741
1,0.464290937,0.53821413,0.516730018,0.610235086,0.610235086,0.998945978,0.797380191,0.809300726,0.30355643,0.781505974,0.000289785,0,0.461867257,0.000647065,0,0.182251064,0.182251064,0.182251064,0.208943935,0.318136804,0.021144335,0.09372201,0.169917903,0.02208017,0.848087884,0.689692901,0.689701702,0.217619596,6110000000,0.00044304,0.264515778,0.376709139,0.006016206,0.004039367,0.635172463,0.012502394,0.171176346,0.828823654,0.005058882,0.37676002,0.005835039,0.093743384,0.168961617,0.397724883,0.064467766,0.001286356,0.004916808,9360000000,719000000,0.025483871,0.006888651,0.391589969,0.012334972,0.751110917,0.127236002,0.182419054,0.014947727,0.00413603,0.00138391,0.056962827,0.341105992,0.289641576,0.005209682,0.308588593,0.731975289,0.329740148,0.023946819,0.931065218,0.002225608,0.02551586,0.00010652,7700000000,0.593915548,2490000000,0.671569942,0.468828128,0.308588593,0.329740148,0.120916106,0.641099985,0.459001053,0.567101309,0.314163135,0.047775282,0,0.795297136,0.008323302,0.623651742,0.610236526,0.839969268,0.28384598,0.26457682,0.570174946,1,0.020794306
1,0.426071272,0.499018753,0.472295091,0.601450006,0.601363525,0.998857353,0.796403369,0.808387521,0.302035177,0.780283936,0.00023613,25500000,0.458520587,0.000790079,0,0.17791075,0.17791075,0.193712865,0.180580505,0.307101931,0.005944008,0.092337758,0.142803344,0.022760097,0.848094013,0.689462677,0.68946966,0.217601299,7280000000,0.000396425,0.264183976,0.36891323,0.011542554,0.00534756,0.629631443,0.021247686,0.207515796,0.792484204,0.005099899,0.37909292,0.006561982,0.092318465,0.148035593,0.406580451,0.014992504,0.001495338,0.004226849,65000000,2650000000,0.013387097,0.02899696,0.381967843,0.141016312,0.829501915,0.340200878,0.602805702,0.000990944,0.006302481,5340000000,0.098162065,0.336731495,0.277455528,0.013878786,0.446027487,0.742728638,0.334776851,0.003715116,0.909903362,0.002060071,0.021387428,0.001791094,0.001022676,0.594501851,761000000,0.671571322,0.276179222,0.446027487,0.334776851,0.117922319,0.64276455,0.459254036,0.53849054,0.314515426,0.025346489,0,0.774669697,0.040002853,0.623841038,0.60144934,0.836774309,0.290188533,0.02655472,0.563706076,1,0.016474114
1,0.399844001,0.451264719,0.457733283,0.583541129,0.583541129,0.998699747,0.796966968,0.808965598,0.303349536,0.781240991,0.000107889,0,0.465705443,0.000449045,0,0.154186507,0.154186507,0.154186507,0.193722227,0.321673622,0.014368468,0.077762397,0.148602847,0.022046067,0.848005477,0.689109536,0.689109536,0.217568188,4880000000,0.000382426,0.263371176,0.384076599,0.004194059,0.002896491,0.630228353,0.009572402,0.151464764,0.848535236,0.005046924,0.379742688,0.005365848,0.077727295,0.147560516,0.397924501,0.089955022,0.001966056,0.003214967,7130000000,9150000000,0.028064516,0.015463478,0.378496642,0.02131999,0.72575418,0.161574532,0.225814869,0.018850625,0.002961238,0.001010646,0.09871463,0.348716439,0.276580304,0.003540148,0.615848369,0.729824909,0.331508979,0.0221652,0.906902159,0.001831359,0.02416107,8140000000,6050000000,0.593888793,2030000000,0.67151917,0.559143963,0.615848369,0.331508979,0.120760455,0.579039312,0.448517912,0.604105056,0.302382255,0.067249617,0,0.739554525,0.003252475,0.622928709,0.583537612,0.834697107,0.281721193,0.026696634,0.56466342,1,0.023982332
1,0.465022181,0.538432185,0.522297768,0.598783494,0.598783494,0.998973132,0.797366081,0.80930372,0.303474978,0.781550045,7890000000,0,0.462746282,0.000686069,0,0.167502423,0.167502423,0.167502423,0.212536636,0.319162481,0.029689792,0.096897647,0.168411539,0.02209591,0.848258202,0.689696883,0.689696883,0.217625639,5510000000,0.000438948,0.265218236,0.379689654,0.006022446,0.003727447,0.636054986,0.0051496,0.106509055,0.893490945,0.005303319,0.375025443,0.006623525,0.09692706,0.167460976,0.400078776,0.175412294,0.001448673,0.004366891,0.000163367,0.000293521,0.04016129,0.058111423,0.394371452,0.023988212,0.751822452,0.260329881,0.35838016,0.014160974,0.004274771,0.000680464,0.110194846,0.344638754,0.287912653,0.00486857,0.975006616,0.731999641,0.330726319,0,0.913850197,0.00222393,0.026385246,6680000000,5050000000,0.593915261,824000000,0.671563053,0.309554917,0.975006616,0.330726319,0.110933234,0.622374075,0.454410932,0.578468903,0.311567161,0.047725372,0,0.795015873,0.003877563,0.623520698,0.59878151,0.839972746,0.27851379,0.024751848,0.575616645,1,0.035490201
1,0.388680349,0.415176625,0.419133787,0.590171378,0.590250652,0.998758098,0.796903193,0.808770562,0.303115813,0.781069061,0.00015715,0,0.465861453,0.000716072,0,0.155577093,0.155577093,0.155577093,0.174435095,0.325387282,0.01810427,0.078088104,0.138811478,0.021564943,0.847982832,0.68910515,0.689177544,0.217566423,608000000,0.000351782,0.263249955,0.388025781,0.002740085,0.000854661,0.630183833,0.014213152,0.180427487,0.819572513,0.004913193,0.381448187,0.005749123,0.078101845,0.137825202,0.400419065,0.095952024,0.001527802,0.004137189,650000000,9300000000,0.029677419,0.021300471,0.377569481,0.03282877,0.686728646,0.080263715,0.214535988,0.002645226,0.000988425,0.000100856,0.139002106,0.350563147,0.276678474,0.004879131,0.733351869,0.725201639,0.335534372,0.003772505,0.903041267,0.001865609,0.040093622,8010000000,2810000000,0.593845782,295000000,0.671567593,0.60319348,0.733351869,0.335534372,0.112917172,0.637469772,0.458499293,0.622190123,0.313268472,0.099521933,0,0.710420495,0.005277875,0.622604643,0.590172327,0.829938957,0.2850871,0.026675366,0.564538339,1,0.019534478
1,0.416126359,0.470235499,0.463782858,0.599115006,0.599115006,0.998972554,0.797240882,0.809175866,0.30325769,0.7814285,8480000000,50900000,0.460246764,0.000842084,0,0.156209178,0.156209178,0.156209178,0.177838707,0.313185259,0.060529062,0.098526179,0.139639979,0.022148739,0.84845506,0.689099177,0.689099177,0.217575505,654000000,0.000417986,0.263455098,0.369136768,0.00429203,0.001933905,0.629275284,0.025951358,0.219608792,0.780391208,0.005003014,0.392590414,0.016895778,0.098547397,0.138624538,0.407168589,0.214392804,0.002714739,0.00232861,0.000128401,0.000384301,0.091935484,0.054445309,0.394100088,0.017994514,0.703730256,0.316573275,0.469679801,0.008266417,0.00282667,0.000221174,0.198285095,0.337687538,0.276486186,0.004139128,0.865215748,0.724531115,0.346198231,0.001554113,0.908947698,0.002083504,0.053089553,788000000,5430000000,0.593891386,423000000,0.671566922,0.28204267,0.865215748,0.346198231,0.113571113,0.629328601,0.457681019,0.543739915,0.309716168,0.065815853,0,0.750430839,0.003010609,0.623182971,0.599110129,0.831976032,0.293599485,0.026471873,0.562976865,1,0.015348595
1,0.462194706,0.53603358,0.514427967,0.599987028,0.599987028,0.998908888,0.797290547,0.809222607,0.303477395,0.781367728,0.000162469,0,0.458983585,0.000943094,0,0.145505878,0.145505878,0.145505878,0.202514891,0.312690104,0.013581983,0.091930625,0.165549446,0.022950998,0.848122635,0.688191178,0.687989374,0.217611038,6430000000,0.000417811,0.263748825,0.370291718,0.00212355,0.001388669,0.64852365,0.030692419,0.228890165,0.771109835,0.004879739,0.396528161,0.005365848,0.091911346,0.164565267,0.403180234,0.064467766,0.001345196,0.004698207,0.000116172,4840000000,0.037419355,0.012308506,0.389814794,0.031878627,0.673325141,0.105993835,0.172224525,0.011060914,0.001305564,0.000415664,0.141036558,0.336370895,0.276849113,0.002469446,0.586269037,0.718087877,0.342348548,0.027677719,0.868460717,0.002162379,0.022401707,0.000101455,6420000000,0.593788636,1870000000,0.671576937,0.669737404,0.586269037,0.342348548,0.130978633,0.64648698,0.459674631,0.533221122,0.316005968,0.12488271,0,0.787081562,0.00163072,0.62187648,0.599983644,0.838258502,0.297038121,0.024885858,0.576472531,1,0.014561571
1,0.453029786,0.516572176,0.505594518,0.596945762,0.596952968,0.99893997,0.797084143,0.80903955,0.303051763,0.781277061,8270000000,0,0.462243024,0.000726073,0,0.156799124,0.156799124,0.156799124,0.200151272,0.318914904,0.01119228,0.094129143,0.158017624,0.022460202,0.848115941,0.689409471,0.689409471,0.217595797,5960000000,0.000401067,0.2640138,0.377938601,0.003198118,0.001559601,0.625067807,0.022234381,0.21035765,0.78964235,0.005188581,0.392383517,0.007769085,0.09410165,0.157016816,0.398625176,0.04197901,0.001487223,0.004251613,7150000000,552000000,0.023225806,0.025571729,0.390176613,0.05942353,0.715123509,0.087235067,0.15796376,0.005559438,0.001758556,0.000327499,0.089798443,0.341701948,0.276685938,0.004074255,0.401236466,0.726919903,0.334301302,0.072717649,0.920882488,0.002028516,0.01597916,0.000145191,8250000000,0.593828362,1400000000,0.671571634,0.402247746,0.401236466,0.334301302,0.149144335,0.642588261,0.459232761,0.571700375,0.314457557,0.086458323,0,0.777094466,0.040160605,0.617349282,0.596946466,0.837052996,0.290903714,0.026050062,0.553328486,1,0.016198909
1,0.472090869,0.538813781,0.517051234,0.597392583,0.597392583,0.998960422,0.797365942,0.80929031,0.303501323,0.781515799,693000000,136000000,0.461377419,0.000558056,0,0.148202773,0.148202773,0.148202773,0.206013047,0.317535545,0.038855362,0.095187688,0.167959629,0.022081861,0.848153738,0.689628528,0.689628528,0.217608536,5470000000,0.000401291,0.264187084,0.376178235,0.002891099,0.002200909,0.638738853,0.034784195,0.235299453,0.764700547,0.005021618,0.405124999,0.012126475,0.095168303,0.167310158,0.410988139,0.137931034,0.001000274,0.006325758,0.000209989,0.000278391,0.077903226,0.0597976,0.391917867,0.026232455,0.662359963,0.255993314,0.330387641,0.020326853,0.002223896,0.000534161,0.201894138,0.340628505,0.276842241,0.002080107,0.822406324,0.7145055,0.351680525,0.006601529,0.91282594,0.002196441,0.020195192,8080000000,6540000000,0.593851633,1500000000,0.671572438,0.259437933,0.822406324,0.351680525,0.120854332,0.643175577,0.459301392,0.564445275,0.314676264,0.09480622,0,0.791982245,0.007233192,0.622323239,0.597393771,0.839162226,0.300005451,0.022761802,0.57198855,1,0.014054216
